code	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
ABW	Aruba	0	0	2	3	41	18	28	4	4	0	1	0	0	0	0	0	0	0	4	0	6	8	2	388	539	486	441	453	566	466	372	242	114	116	106	103	76	69	66	109	124	87	111	132	245	481	392	303	236	258	198	247	229	213	287	355	483
AFG	Afghanistan	1	3	11	15	77	193	256	378	530	1006	1572	2361	3598	4527	5026	4552	4322	2178	2056	1694	923	747	674	346	496	402	189	191	317	278	273	105	406	438	627	657	608	1002	1468	1341	1228	1157	1452	1205	640	1874	538	621	449	322	143	107	127	133	119	134	197
AGO	Angola	0	0	0	2	3	5	9	5	1	10	8	5	13	23	4	50	38	83	87	116	225	229	248	408	307	255	417	384	400	566	771	698	876	1216	1564	1779	1530	1039	1039	674	449	625	465	523	459	548	609	602	415	280	267	170	283	273	268	373	335
AIA	Anguilla	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	2	1	2	0	0	1	1	1	0	0	0	3	1	0
ALB	Albania	0	0	38	38	121	136	100	115	164	77	67	77	56	133	110	232	427	439	489	552	637	629	759	879	985	1015	1004	823	1083	1041	927	964	1114	1543	2084	2017	2830	3528	4963	4594	5358	5594	4800	3213	3236	4042	4183	4225	5810	6961	7775	7075	7153	5863	4743	3720	3100
AND	Andorra	0	1	0	87	220	158	135	103	34	9	7	7	1	2	88	1	2	0	0	0	25	17	28	30	34	56	79	91	129	220	272	274	586	681	661	718	563	406	482	403	395	283	272	246	360	420	452	461	386	321	257	209	177	170	209	253	328
ARE	United Arab Emirates	8	24	40	68	315	1037	2231	2566	3511	3786	3818	5210	6077	5192	4372	3722	2543	2827	3497	3596	2258	1851	2198	1540	1802	2515	2711	4143	5378	5393	6376	7142	7373	9254	9377	8865	8403	8103	8650	8717	8774	8479	8649	8488	10749	16061	22106	24568	26285	22741	22203	22570	20419	19642	16169	14233	14431
ARG	Argentina	0	8	26	124	532	761	524	783	1022	901	1095	2029	3548	4861	5806	8275	10909	16540	17632	22133	25015	35810	38209	45268	47289	47702	64437	70567	74675	76453	79550	88334	93064	95237	102217	85588	69927	67995	61336	47193	46457	34770	42567	41098	56567	79575	77570	70213	60072	54425	44864	39072	43572	42517	45311	49714	59650
ARM	Armenia	0	1	17	142	247	363	197	281	429	596	902	1108	2019	2625	3437	3640	3704	4201	3991	3492	3070	2534	1845	1344	1310	1121	1010	1023	1026	1479	1918	2853	3811	7264	12523	14290	14436	11606	8984	8755	7365	6353	5861	4176	2449	1996	2441	1674	992	1036	1085	1212	1559	2464	3642	5228	6413
ATG	Antigua and Barbuda	0	0	1	0	6	8	6	2	1	1	0	0	0	0	1	0	0	39	4	6	2	6	9	1	1	1	0	1	0	1	2	9	4	8	5	4	3	3	5	2	3	4	4	3	4	10	18	8	23	70	139	171	128	87	149	71	89
AUS	Australia	10	38	187	821	2569	1910	753	265	126	105	140	105	70	78	67	61	141	225	757	1354	2005	2601	3492	3189	2203	1524	859	608	373	247	142	95	128	127	123	82	63	53	110	71	73	65	138	140	176	111	113	58	45	40	47	28	44	64	83	79	63
AUT	Austria	9	70	576	2159	5457	3510	2025	865	477	410	275	368	285	199	213	180	245	257	585	618	790	765	874	707	1260	1883	1923	2102	3609	4778	4740	5218	6991	8711	14895	26896	42295	51071	43671	33699	25028	19133	17387	13275	13818	14769	13440	11001	9696	9314	9781	11233	13781	15554	18194	20375	22346
AZE	Azerbaijan	0	9	6	38	129	339	537	315	244	277	528	716	844	1264	1993	2331	2668	3652	3911	3720	3612	2500	2524	1324	626	998	1069	1018	980	870	853	666	1191	2565	4696	6256	8479	9681	16469	24127	28298	29100	27704	14065	6270	4588	2901	1737	1378	956	973	978	1294	2098	3327	5798	8880
BDI	Burundi	0	0	0	0	0	3	2	0	6	4	0	0	27	21	20	2	19	66	21	0	119	51	34	10	7	17	16	15	11	2	12	28	4	19	19	30	27	15	29	25	13	34	33	25	36	63	300	253	175	104	107	159	198	118	142	122	94
BEL	Belgium	0	168	520	2126	6319	9297	9587	9165	8142	4192	3079	2393	1821	1376	886	846	632	659	629	631	1237	2021	3675	3999	4468	3599	3131	3226	4653	8270	12055	14820	29308	56184	92294	123820	64939	37112	25624	17544	15494	13217	20601	14270	11139	13525	14515	14645	15983	16033	13245	15264	17035	16395	19512	22620	38122
BEN	Benin	0	0	0	2	4	10	19	0	19	36	194	55	5	89	37	151	238	474	75	179	224	92	111	131	127	52	30	68	29	38	45	32	54	85	61	86	102	99	72	58	81	35	62	53	46	53	109	230	143	407	367	583	291	637	430	317	282
BES	Bonaire, Sint Eustatius and Saba	0	0	0	0	0	2	0	1	2	1	0	0	0	0	1	0	0	0	0	0	3	1	0	2	0	0	2	3	7	11	49	39	24	2	0	3	1	1	3	3	3	11	4	3	14	0	0	0	0	0	0	0	0	0	0	0	0
BFA	Burkina Faso	0	0	2	62	143	111	166	81	64	23	96	34	32	33	41	4	9	40	46	46	14	39	57	32	65	57	55	56	106	302	157	181	117	72	101	56	65	70	68	113	340	738	1060	1301	685	926	1134	967	613	647	361	195	199	171	197	166	157
BGD	Bangladesh	0	0	3	22	23	22	412	1662	2854	3792	4980	7225	11083	12530	18418	21353	24396	25203	25701	21450	20937	19112	18682	15253	19412	18100	16300	14640	12479	11328	10501	9692	9508	10222	10212	10177	11080	11732	14785	15338	15170	13389	10382	8539	7085	6198	5681	4263	3444	3000	2496	2758	2807	3893	6512	12470	23100
BGR	Bulgaria	0	0	41	122	168	172	158	217	369	347	327	254	233	91	212	555	606	753	1052	1498	1463	1674	1524	1507	990	798	1033	886	841	928	1178	1521	2801	4789	8454	15282	21641	22950	23262	21050	19097	18108	12077	6355	5496	5526	3330	2960	3922	4934	5964	6923	10267	13105	18067	24602	25290
BHR	Bahrain	41	44	125	95	171	212	352	733	815	696	1490	1973	2055	1991	3590	3330	3618	3936	3590	3613	3534	2743	2443	2439	2801	2608	2353	3380	4815	4913	4276	3535	2977	2284	2404	1670	1619	1259	1068	1054	1087	1233	1097	1456	1666	2133	1951	2188	3170	4087	5389	5132	4544	4348	4278	4922	5492
BHS	Bahamas	0	0	0	4	6	18	18	9	23	5	9	4	4	2	1	0	1	0	0	7	27	188	273	279	374	513	370	341	452	286	576	542	691	605	640	446	233	216	232	101	74	78	85	55	99	82	63	69	73	82	55	92	116	81	58	142	135
BIH	Bosnia and Herzegovina	0	3	15	75	165	366	322	322	218	353	251	177	124	103	112	287	380	662	1027	1757	1442	1606	2109	1811	2114	1914	1835	1889	1699	2079	1580	1178	2370	3216	6197	10332	11122	9688	8409	7401	7058	6538	5218	3806	2813	3236	1632	2409	2077	1937	1968	2135	3442	4534	6647	9177	10695
BLM	Saint Barthelemy	0	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	3	2	0	3	2	22	17	3	7	5	6	7	19	18	0	20	15	13	9	6	16	45	49	60	0	95	57	61	65	74	63	0
BLR	Belarus	1	5	21	49	18	346	1786	3071	4293	6238	6224	6629	6563	6414	6093	5490	4695	3159	2175	1497	1186	1049	944	792	570	977	1238	1140	1312	1486	1828	2563	2619	4592	4915	6504	6801	7587	9565	10889	11955	13055	13245	13343	13203	12243	13169	12322	10711	10389	10070	9961	8969	8473	6896	7965	8338
BLZ	Belize	0	0	0	0	2	2	9	5	0	0	0	0	0	0	1	1	2	2	6	7	3	8	8	90	242	280	296	230	264	148	219	255	347	348	331	381	589	707	327	537	1954	1572	618	699	317	459	263	193	186	129	108	99	49	42	35	30	15
BMU	Bermuda	0	0	0	2	15	18	13	35	26	5	4	5	5	12	1	1	4	0	0	4	3	0	3	1	5	5	2	6	2	3	1	0	3	1	5	9	10	13	5	20	41	103	125	65	41	24	24	16	5	1	2	5	6	17	13	38	174
BOL	Bolivia	0	0	10	9	55	65	136	218	373	604	967	1389	2089	3677	3766	4484	5670	7164	7395	9129	10938	10143	10512	10262	10091	9281	6927	4887	5741	4488	3122	2977	1894	1247	1069	978	670	754	741	670	900	1538	2740	4579	7706	10743	12882	14309	15408	11731	8908	5735	6776	5403	5054	5407	4891
BRA	Brazil	2	11	138	870	2883	6456	10367	15931	22666	37776	58961	77450	113887	151042	174406	177668	217065	246088	263337	262846	235010	319653	313364	304535	304684	265266	263791	276847	192687	212553	189751	188842	175804	141725	156273	154970	117956	195398	203827	237486	286905	302950	333028	252651	250599	359593	379061	361195	360721	270190	362589	329394	378084	421604	500722	510901	539903
BRB	Barbados	0	0	0	6	20	26	16	7	4	2	3	2	6	0	0	4	1	0	0	6	1	4	14	16	12	8	12	8	2	5	5	6	10	13	8	10	5	7	6	15	15	7	15	45	43	413	287	246	182	153	385	654	323	226	140	129	76
BRN	Brunei	0	0	40	43	37	15	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	2	1	1	0	0	5	16	1	1	5	1	3	1	1	3	3	13	1
BTN	Bhutan	0	1	0	1	1	2	0	0	2	0	0	14	3	9	15	18	2	7	3	4	5	5	10	6	25	22	40	33	16	15	12	12	23	19	15	9	10	16	4	17	30	11	6	154	113	100	32	12	4	3	2	3	1	1	0	1	2
BWA	Botswana	0	0	0	0	0	4	9	2	7	1	0	1	6	5	5	20	29	3	185	37	208	164	118	0	410	94	254	440	250	315	354	251	47	2023	681	719	1193	390	1369	664	1273	970	513	1011	780	1245	1315	2289	1639	2210	1423	1598	1847	3375	2352	1395	2973
CAF	Central African Republic	0	0	0	3	0	5	0	4	4	56	71	184	225	410	608	487	629	743	540	319	197	113	16	27	11	27	21	29	20	37	20	39	9	1	7	4	13	17	15	2	9	14	0	12	15	6	4	1	7	8	7	5	3	14	5	52	13
CAN	Canada	11	34	144	1079	4299	7402	10338	11040	12015	11554	10992	8288	7945	6530	4795	3568	2719	2116	2307	1965	2725	3595	3053	2625	2677	2735	3079	3872	4653	6443	9163	12590	16407	14300	18984	21262	25908	31918	34052	39088	44264	45984	47214	38312	45882	67388	49574	40465	32400	26032	22614	19922	21017	20204	22333	24048	29950
CHE	Switzerland	18	250	1091	5216	7501	6429	4602	2297	1490	923	434	321	153	120	111	138	149	312	643	619	675	810	1110	1039	1473	1703	2095	2235	2747	2579	2581	2520	5984	14054	29231	50598	57662	45222	33466	27689	26207	29334	30158	24208	24099	25687	17245	14051	12041	10553	8854	7048	7157	7358	8355	9964	11608
CHL	Chile	2	11	75	504	1423	2340	3011	3232	3939	6676	10995	17808	30271	38433	41631	41283	35114	31018	24081	20182	16817	14746	14066	13365	12879	11806	12301	12425	12232	12008	11305	12492	11124	10408	10539	9714	9721	9699	9467	9798	9727	11113	13574	15039	17508	21840	27751	29154	28253	25182	24314	23449	25573	29065	34896	39710	44824
CHN	China	2329	1401	175	195	406	243	333	749	109	48	26	46	27	27	36	96	248	121	53	41	65	171	555	234	208	124	80	91	62	95	72	99	107	115	121	204	215	126	93	81	107	106	104	126	162	316	794	765	531	171	71	68	62	82	69	55	71
CIV	Cote d'Ivoire	0	0	1	13	87	144	288	268	276	285	305	394	305	433	758	1291	2428	1668	1518	1981	1469	1582	615	511	373	381	519	579	444	353	331	249	279	173	128	287	97	132	181	135	180	198	285	191	482	919	1374	1756	1566	1389	1317	1030	717	2304	2369	2609	2948
CMR	Cameroon	0	1	1	25	64	464	265	197	501	559	197	831	1295	1504	1695	1082	2929	982	0	2581	984	551	547	787	427	293	380	462	405	422	304	189	279	238	129	223	549	350	836	589	635	391	581	553	571	0	1162	1607	0	1777	704	1651	1965	0	4908	0	7047
COD	Democratic Republic of the Congo	0	0	2	21	42	89	69	84	109	258	263	518	570	941	912	846	948	1018	689	592	353	477	283	352	202	173	196	171	207	103	105	159	89	159	143	163	244	210	420	428	805	929	1055	1366	1235	1161	1534	1020	891	881	755	840	712	677	469	530	419
COG	Congo	0	0	0	3	1	18	38	83	57	29	45	117	96	84	112	45	155	204	470	471	605	405	162	464	81	105	129	649	300	58	19	84	29	38	97	37	89	136	117	142	0	275	151	708	199	20	582	85	93	173	359	0	401	359	150	235	117
COL	Colombia	0	1	21	174	412	798	1303	912	1521	2143	3210	4444	5238	8059	9791	10719	16887	22958	24798	32243	45068	50095	65386	70689	79819	76414	66781	58572	50508	49434	47640	42109	54600	49624	55340	66473	62263	55187	48859	59120	62636	54823	78990	88841	81505	104955	119671	111935	83837	64401	38909	31902	26117	25110	25837	32105	44404
COM	Comoros	0	0	0	0	0	0	0	0	0	3	8	0	67	28	35	35	71	25	37	8	11	12	46	13	4	14	6	29	4	14	8	9	8	7	15	28	18	16	17	15	5	12	15	72	149	286	427	683	458	368	246	158	81	25	30	40	24
CPV	Cabo Verde	0	0	0	3	2	2	1	50	32	62	84	92	43	50	121	184	137	228	330	202	391	244	222	355	328	292	323	497	436	475	515	595	617	725	684	471	498	489	454	466	336	266	265	131	185	433	585	513	567	399	320	299	325	400	311	405	578
CRI	Costa Rica	0	1	25	91	178	140	142	78	38	40	47	73	65	129	216	399	465	852	1642	2610	3320	4049	3587	4615	4935	5347	6615	7221	8534	8258	8337	7133	8257	8075	7574	6883	6392	6860	6195	7675	6592	7262	6525	5518	6331	8293	6573	5121	3968	3162	2749	2491	2663	2299	2453	2810	3275
CUB	Cuba	0	0	4	17	98	169	332	366	351	274	143	108	69	94	148	65	71	21	39	51	25	33	155	255	404	325	308	373	355	402	357	368	168	222	364	353	380	301	230	375	541	640	670	1014	1187	1963	3313	3126	5047	6337	5472	6001	5677	5674	5723	5404	5622
CYM	Cayman Islands	0	0	1	2	5	27	10	16	9	4	7	13	35	12	23	23	8	1	5	0	2	0	0	0	0	2	0	0	3	0	2	3	8	12	6	1	10	4	7	13	14	10	13	7	20	21	15	9	7	15	11	12	16	7	17	7	12
CYP	Cyprus	0	0	26	58	95	247	190	145	49	54	28	22	13	17	16	20	5	9	8	12	23	16	71	109	99	85	83	24	16	67	94	127	175	595	863	922	1505	1180	1405	1775	1950	2295	3000	1915	4054	3566	1800	1076	883	874	746	763	1271	2151	2702	2605	2423
CZE	Czechia	0	19	170	806	1636	1841	1359	775	746	403	340	360	435	340	337	424	457	850	1142	675	740	1357	1487	1536	1656	1899	2304	3658	7649	12905	14988	17311	33400	54822	81970	84305	76118	47009	32521	27899	25530	31243	43414	48733	67900	87247	61190	49455	47353	49398	52737	63472	81274	84569	79944	67298	53829
DEU	Germany	63	720	3786	17628	35482	38397	28816	18434	13171	8454	6357	4428	4234	3203	2261	1817	3403	3788	2740	2511	2717	3852	4727	5898	7585	9373	8974	8223	9759	12115	12094	15001	23436	41201	63144	103982	136324	131619	128257	124504	131146	152461	172417	137722	127300	154922	110183	99046	87220	60092	51903	51515	55756	57974	67713	99369	113692
DJI	Djibouti	0	0	0	1	13	36	137	545	276	104	77	142	939	924	975	280	116	78	93	232	35	36	45	254	29	15	3	2	7	9	6	9	5	29	78	31	44	40	16	15	16	33	56	24	36	25	37	15	13	10	27	54	43	69	118	266	731
DMA	Dominica	0	0	0	0	11	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	7	1	1	5	12	13	5	4	13	0	2	1	0	0	18	4	3	4	4	0	13	8	2	12	0	5
DNK	Denmark	3	20	804	499	875	1876	1919	1246	1203	962	912	539	431	344	291	215	252	284	157	114	227	265	351	653	1041	756	540	957	1821	2879	3777	3089	2780	2859	4470	6940	7879	6848	8557	8719	10504	18258	24490	19561	16374	12699	7959	5718	4178	3091	2881	3014	3651	3594	5592	4930	4202
DOM	Dominican Republic	0	2	9	101	607	769	1271	1576	1591	1652	2304	2228	2312	2486	2287	3377	3206	4841	5565	6930	8405	9377	10519	7363	6767	5016	3171	5044	4316	4608	3257	2969	4088	2911	3093	3000	2627	3580	4545	4883	5002	5930	5479	6876	7025	7679	10695	11168	10046	9595	6747	5607	4507	3651	2956	3373	2593
DZA	Algeria	1	16	20	102	315	797	574	709	722	1039	1263	1263	1292	1154	783	760	821	1337	2532	3212	3837	4215	4186	3743	3440	2935	2713	2290	1936	1616	1291	1081	945	1263	1677	2062	3439	5438	6955	7438	6290	4136	3143	3076	2302	1754	1698	1758	1753	1507	1884	1251	1196	1144	1039	923	684
ECU	Ecuador	0	13	15	478	1317	1642	3792	1765	13697	4745	4670	3742	3495	2313	4157	3628	3375	4843	6961	5674	6173	6654	6196	7340	7116	6401	5817	5139	6359	9169	8361	6370	6477	5594	7192	8578	5294	6141	5249	6033	6482	4133	4396	3354	5239	5836	10459	7424	11547	7336	8412	7570	11250	8596	7723	10202	11831
EGY	Egypt	0	14	94	185	282	494	869	1093	1287	1874	2771	2755	4794	6936	9163	10368	10778	10165	10112	7123	6014	4411	2733	998	1022	901	1260	1215	1144	1044	836	839	812	910	1100	1158	1407	1585	2129	2507	2831	3075	3802	6424	9563	7921	6708	5636	4275	3688	4096	4341	4286	4093	4358	4491	4593
ERI	Eritrea	0	0	0	1	5	23	5	5	0	0	0	0	0	0	0	26	78	48	24	17	19	12	16	6	0	21	12	12	31	3	11	23	16	38	9	2	28	2	58	26	55	79	43	238	328	236	321	63	195	191	103	256	162	97	94	80	90
ESP	Spain	43	455	5891	18983	47861	52933	36859	28699	24213	10677	6996	7120	4592	4310	2082	2295	2333	2531	2076	3363	6347	12166	16101	25840	28451	43241	53232	59703	67337	73714	76441	73451	71180	75448	109572	139546	143154	129759	98139	71478	56439	45928	66661	57715	73314	122095	201804	247396	243559	198871	114045	77087	55431	34806	34692	28628	42992
EST	Estonia	1	9	105	191	339	394	265	208	123	64	34	37	51	44	66	42	8	5	7	21	7	12	39	75	37	81	98	128	164	220	290	412	269	206	299	554	1028	1479	1963	2323	2802	3213	3506	3808	3762	4300	3602	3493	3563	3765	4237	5284	7366	9285	10188	10156	8710
ETH	Ethiopia	0	0	1	8	7	22	31	36	17	11	77	96	188	569	871	1232	1303	1101	276	1556	1745	4101	4751	4254	6641	10139	10621	7812	6422	4243	4569	5160	5569	5005	4424	3311	3032	3120	3031	3578	3810	3557	3197	2919	2636	2743	2980	2526	3723	4432	4251	6153	6196	6976	9025	11587	13153
FIN	Finland	2	12	210	298	644	715	1023	776	794	701	704	406	282	258	138	123	55	56	50	43	35	70	55	125	152	186	143	212	296	365	655	814	1458	1444	1359	1461	1272	1717	2114	3091	2911	3232	2403	1968	1783	1788	1709	2233	2537	2391	2745	3278	3767	4500	4454	5117	4422
FJI	Fiji	0	0	0	1	4	7	4	1	1	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	1	0	0	3	1	0	0	0	0	0	1	1	0	1	0	3	6	0	2	0	3	4	2	0	0	1	0	0	3	4	3	1	0
FLK	Falkland Islands (Malvinas)	0	0	0	0	0	1	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	6	6	0	0	3	3	6	4	8	1	0	0	0	0	0
FRA	France	88	838	3531	9813	22880	26426	14023	92711	12334	9799	7495	3008	2829	6198	5693	2713	2492	1986	1883	2575	2947	5037	6582	9467	16769	21758	33136	43748	54257	66058	83360	76642	110825	146685	217868	278983	426812	204033	171052	80452	72150	82851	94099	89549	91016	122716	125412	138788	140954	136457	128532	130902	149767	143708	161662	205091	254568
FRO	Faroe Islands	0	1	8	83	63	26	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	4	33	70	75	14	27	2	5	13	29	13	4	6	7	5	0	2	2	3	4	19	14	32	43	32	3	3	2	1	2	1	0	0	2	1	0
FSM	Micronesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAB	Gabon	0	0	1	3	3	14	25	62	68	159	326	659	614	721	446	362	965	781	411	322	373	669	547	392	302	163	117	96	42	53	32	69	38	46	38	49	54	40	69	60	63	76	70	97	74	123	205	379	470	709	1120	976	1011	1061	1035	1051	1066
GBR	United Kingdom	38	367	2202	6327	17882	30359	32192	32047	32824	31230	22833	19782	16226	10744	8442	7079	6573	5138	2592	4053	5113	4615	5261	5821	7616	7222	8151	11412	21010	25184	38919	50740	110827	114584	148582	157650	159781	172915	149027	111789	100799	124985	173263	251786	343784	417620	339952	260098	178629	133747	97271	78569	64844	42824	40477	37451	37909
GEO	Georgia	1	3	26	19	41	72	80	146	68	126	44	57	45	29	51	43	47	23	27	33	37	99	54	45	105	73	68	159	454	1231	1654	2604	3707	5014	10218	12433	15916	21806	24026	27258	30212	28852	19901	13601	8244	9334	8939	5947	4660	3988	3580	2897	2413	2107	2104	2497	2718
GHA	Ghana	0	0	3	16	122	64	203	426	445	890	2094	1472	882	1151	1694	1656	2599	2714	2957	4860	2812	4791	5163	3519	1677	1115	793	659	657	443	345	581	202	227	458	365	849	1114	699	662	717	837	720	633	778	708	1209	3134	5312	4619	5790	3819	2931	3506	1388	1796	1011
GIB	Gibraltar	0	1	0	9	46	42	31	3	4	8	2	2	5	17	6	1	0	1	1	2	0	5	3	9	12	30	36	37	15	23	22	56	48	82	102	37	88	102	66	56	39	24	139	382	711	805	528	298	173	69	38	13	10	9	16	7	3
GIN	Guinea	0	0	1	1	6	103	139	268	478	590	456	616	518	530	411	367	476	331	279	474	447	436	381	567	468	589	319	398	371	266	226	223	261	482	157	437	328	185	213	241	194	187	112	114	138	158	156	202	175	190	230	500	499	646	1052	970	939
GLP	Guadeloupe	0	0	1	52	49	32	9	5	1	3	2	1	1	6	2	7	3	8	2	6	5	8	62	25	156	325	374	218	1717	346	1061	1041	955	639	207	276	298	195	127	119	83	24	47	59	63	82	132	222	0	100	146	153	513	490	0	267	370
GMB	Gambia	0	0	0	1	2	1	5	0	1	7	3	3	2	0	1	2	9	7	13	7	29	184	221	592	599	748	558	255	226	128	51	35	38	21	10	13	12	18	24	5	39	9	7	5	9	41	56	61	132	147	65	252	137	68	226	168	212
GNB	Guinea-Bissau	0	0	0	0	2	16	20	8	6	205	384	328	145	142	112	92	81	73	151	77	107	5	27	71	65	32	56	40	30	28	21	38	23	4	14	10	1	5	2	1	19	3	3	0	5	3	23	32	22	240	113	206	156	65	124	122	72
GNQ	Equatorial Guinea	0	0	0	6	6	4	2	61	179	57	124	155	366	346	0	0	358	337	1070	0	0	0	1750	0	0	105	15	31	24	6	26	17	18	7	9	9	4	12	26	23	6	26	29	22	41	12	67	45	115	62	116	104	207	324	233	174	166
GRC	Greece	4	42	182	302	531	612	408	154	271	114	90	109	57	39	65	132	144	110	145	261	211	183	421	834	1437	1523	1596	1409	1650	1942	2250	2385	2465	2854	5060	9259	15558	17701	17611	12913	11534	9274	6643	4629	4595	4584	4077	3276	4827	6740	8253	7452	10913	14147	15543	16090	16979
GRD	Grenada	0	0	0	0	7	5	2	0	4	3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	2	2	9	0	0	2	51	18	15	0	12	8	1	0	0	0	0	0	0	6	1
GRL	Greenland	0	0	0	2	8	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	7	1	3	1	0	0	0	0	0	0	1	0	0	0
GTM	Guatemala	0	0	1	16	17	27	76	98	238	215	279	796	1291	1685	2053	2699	3264	3642	6104	6097	9444	6450	6487	5210	6124	5543	5823	3802	4177	3494	4550	4046	3796	3484	3604	3307	3111	3669	3698	3381	3554	3747	3496	2576	3145	4811	5471	5292	5228	3819	4134	3860	3404	4002	4342	4980	5391
GUF	French Guiana	0	5	0	13	10	33	22	13	15	17	13	56	82	198	162	522	1002	1298	1452	1036	706	677	525	410	321	209	279	246	199	171	171	166	115	99	133	160	168	140	170	165	228	348	526	404	588	697	806	784	468	268	160	73	98	66	71	0	158
GUY	Guyana	0	0	1	6	16	15	22	18	10	9	12	23	10	25	2	5	24	47	42	19	36	33	70	124	120	251	259	275	353	356	557	243	437	305	284	168	322	310	299	245	299	242	226	184	62	190	310	371	359	358	268	192	151	222	349	464	487
HKG	Hong Kong	26	13	32	133	288	301	138	24	13	2	5	8	13	17	23	4	19	69	61	173	282	792	891	611	399	251	129	71	81	71	50	49	67	62	52	34	41	80	116	563	679	644	632	462	383	288	291	507	390	209	159	81	135	91	183	114	74
HND	Honduras	0	0	2	22	71	169	128	65	170	383	820	755	912	1617	1061	2300	3851	4701	5914	4662	5210	5645	4247	4288	3006	4004	5662	4707	2784	4007	3405	4240	4358	4448	5130	4164	3153	2514	1880	3078	2447	4083	2169	2885	4047	3799	6564	6731	6862	6805	5883	4707	5259	3266	4812	4099	5084
HRV	Croatia	6	6	26	168	451	469	408	298	184	72	88	48	19	3	1	4	48	325	470	578	581	539	432	319	877	1480	1961	1878	1629	1357	1282	1394	2531	4829	9198	15357	15388	17140	18566	23283	23761	25069	20464	11325	7950	7085	5228	3993	3522	3036	2333	2226	2932	3503	4364	6321	9096
HTI	Haiti	0	0	0	2	6	10	12	13	29	9	48	144	461	709	1197	1301	975	627	558	481	366	249	215	170	228	206	145	165	131	99	128	108	62	71	74	55	55	59	43	53	83	118	183	198	169	226	394	400	425	298	258	238	176	106	96	68	36
HUN	Hungary	0	4	26	73	240	335	632	524	609	499	271	260	240	154	123	74	22	52	36	55	86	109	102	127	224	256	536	2223	3933	5095	6157	6640	6879	8220	11282	19223	29622	31780	33575	34410	38873	32666	23775	15340	11326	13771	10128	7730	7962	8846	10630	14356	24019	35686	47811	53344	63808
IDN	Indonesia	0	4	92	354	705	937	1750	2406	2359	2236	2802	3380	4720	4028	4741	6906	7609	7783	9330	11876	10864	12404	12650	13567	13965	14030	17697	21470	24081	25941	30652	28167	29446	28810	28218	24108	23748	29171	30301	34691	41708	41924	46317	48889	51636	59913	78256	80832	88839	80697	63693	60650	57721	44762	40905	41047	36214
IMN	Isle of Man	0	0	0	1	31	94	100	71	11	12	9	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	3	3	0	5	4	6	5	1	1	0	3	1	6	14	25	13	2	0	2	14	34	192	558	228	93
IND	India	0	31	68	228	657	2095	5364	7276	10561	13416	23109	27840	40775	50404	64795	74300	89529	118408	144306	176357	228259	307854	365088	402287	436942	454988	497793	571078	640545	646263	591913	556841	504433	440745	370260	319271	323672	306825	281227	297113	251303	212807	174194	156627	136115	126319	107701	96548	91641	80189	78577	86711	105080	114068	148249	240082	372494
IRL	Ireland	1	17	111	656	1630	2189	4324	5830	3803	2615	1584	1288	534	347	254	112	79	63	72	102	139	119	240	535	547	717	812	814	1196	1808	2022	3108	4046	6964	7430	5348	3399	2671	2617	1799	2006	1808	3020	6618	11532	43801	29053	16404	9119	7245	6248	5582	4602	3719	3659	3473	4106
