code	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
NZL	New Zealand	1	4	1	46	399	499	362	110	48	18	8	5	5	0	0	0	7	15	7	11	9	3	9	4	53	52	55	43	25	18	18	21	17	15	49	24	23	19	27	22	28	18	20	28	37	38	37	27	23	16	10	20	26	23	24	30	29
OMN	Oman	6	10	3	33	100	125	269	634	725	578	741	1805	2228	3166	5593	6061	6489	8387	8153	9591	10807	9354	4301	2198	1567	845	1236	1375	1957	3416	4154	2678	5544	4167	3541	2597	2733	2275	1918	1219	1750	1340	1350	1271	577	1203	1194	1222	1242	1313	1581	1872	2094	2308	2361	3878	4703
PAK	Pakistan	4	2	47	723	821	1560	2073	3118	4980	6756	10250	9817	14450	14895	29447	33462	44212	26338	22328	23589	14624	9617	5192	5182	4560	4127	3198	2653	3456	4190	4604	4341	4316	4087	4876	6075	9219	13715	17269	21012	21314	21926	18863	14047	15299	15782	16875	13121	12401	9661	8555	8145	8799	10535	14692	21602	27789
PAN	Panama	0	0	36	164	586	887	1301	1236	1328	1552	1192	1167	1128	2441	2986	4055	5163	5436	6325	7349	7929	6603	7519	7268	7014	4815	5857	4968	4736	4560	4507	4545	5013	4441	4408	5083	4908	6803	8268	9876	12454	14678	18999	19140	23040	25008	19497	13582	9602	7011	5228	4345	4408	4032	3164	3024	2832
PER	Peru	0	1	37	280	353	1075	5102	7572	10911	17203	22481	23526	27213	39917	36087	28991	30589	24651	23091	23630	26790	26461	31531	56383	52421	59771	53894	46887	39822	39742	38172	26980	24524	16329	20699	17064	17323	15147	15431	12287	10492	10083	8514	16089	9591	11043	29843	26884	50115	40023	47703	48775	54340	34431	44316	49035	69328
PHL	Philippines	0	3	105	196	768	2019	1334	1659	1207	1634	1682	1695	1472	3447	4116	4052	4008	5403	7027	12392	11082	13108	19820	28653	31033	29331	25882	21439	23293	25597	17796	18074	17596	17412	13481	12910	13232	12376	10515	10945	10272	10262	9713	10961	7911	8881	12894	12988	11837	12005	11734	12033	14959	16891	25473	39445	56386
PNG	Papua New Guinea	0	0	0	1	0	0	1	5	1	0	0	0	0	0	0	0	0	3	0	0	5	23	52	97	99	90	92	35	20	8	16	8	9	32	2	6	8	3	4	41	26	49	40	20	0	31	23	1	16	40	23	56	305	217	327	1266	1575
POL	Poland	0	5	98	433	1102	1989	2729	2386	2531	2102	2276	2606	2674	2640	2415	3031	2603	2094	2005	1802	2225	2876	3724	4821	4923	5091	5058	4148	3263	4680	7650	12160	23498	45592	74716	120785	158909	169478	152357	130118	80680	72427	67410	59847	58823	63609	53223	41267	37795	36856	38091	48106	65158	84460	108015	147340	185025
PRT	Portugal	0	20	149	1111	3890	5354	5463	3698	3707	1959	2216	1404	1661	1732	2148	2112	2378	2348	2380	2652	2169	1565	1355	1227	1444	1471	1996	2495	3367	4715	4914	5308	7327	12481	18054	25170	32261	37726	44704	34736	27934	26060	26087	22209	30874	52317	63229	85053	86549	50888	22173	12260	7505	5568	4304	3364	2962
PRY	Paraguay	0	0	6	12	38	40	37	69	26	142	319	89	72	114	126	171	101	580	443	435	809	699	1157	1220	2676	3593	3500	5397	5453	5691	4907	5530	5526	5037	5028	4142	3756	4124	4792	5274	6082	5700	6244	5005	4556	6308	6622	5433	5467	5055	5840	7288	7806	8432	12103	13527	13998
PSE	Palestine	0	16	19	13	50	119	51	45	29	11	22	1	47	24	17	25	295	1031	2020	2096	2273	2102	1854	1768	2225	2323	3192	3907	4331	5097	3250	2825	2867	2801	3243	3531	4137	4510	8087	11636	14208	12001	13117	10688	8383	6414	4868	3437	3553	3470	4771	5515	9594	12639	12888	13955	13357
PYF	French Polynesia	0	0	3	12	15	10	11	4	2	1	2	0	0	0	0	0	0	0	2	0	0	0	0	7	97	45	271	212	259	318	308	385	790	1043	2000	1465	2733	1711	1272	1118	1011	511	564	368	376	315	394	217	208	125	78	83	41	72	68	49	31
QAT	Qatar	1	7	329	144	109	735	1403	2280	4350	5514	6459	9641	11241	13049	11933	11221	8072	7175	5520	3945	3180	2728	1875	1739	2159	1956	1642	1457	1659	1623	1704	1489	1439	1449	1738	1591	1457	1557	1492	1415	1306	1044	1031	1045	1337	1432	1417	1683	2212	2706	3114	3163	3230	3278	3292	3439	3929
REU	Reunion	0	0	6	39	138	151	54	19	10	6	9	12	9	19	9	9	17	15	16	41	47	33	7	17	135	301	440	558	608	471	491	493	313	285	373	510	605	617	620	439	260	145	359	205	128	210	196	258	295	491	420	655	854	709	676	830	930
ROU	Romania	3	6	114	244	1085	2161	2377	2428	2217	2097	2399	1573	1153	1276	1157	1389	2051	2292	2560	3497	4612	6987	8433	8512	8751	8170	8289	8031	8522	9164	9685	12830	18338	24065	29325	35546	55660	56186	59623	53174	42363	43555	36044	25816	23635	30807	23286	17706	17724	16425	16748	17185	21888	25831	30331	37522	39331
RUS	Russia	0	11	46	247	958	3467	8853	23209	37795	49466	74622	73367	63839	60693	61527	61356	56704	50617	46785	45885	44766	41117	38558	36673	35245	33723	33042	34558	36532	39252	45594	60154	79582	97775	111240	119007	133905	147664	159727	175937	186962	191586	190567	199508	187775	164277	163026	151246	131818	117388	104885	92886	81742	76619	67611	66420	62532
RWA	Rwanda	0	0	1	16	43	42	18	24	39	72	25	9	36	34	72	110	161	176	214	207	240	213	290	92	218	537	954	506	216	124	122	41	40	79	89	77	76	181	226	271	193	444	704	585	750	894	1389	1797	2471	1219	930	721	802	719	634	618	609
