code	country_exposure	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12	cumulative_proportion
GHA	Ghana	X	X	0	0	0.13934426229508196	0.140625	0	0	0.0022471910112359553	0	0.0004775549188156638	0	0.011337868480725623	0.013900955690703735	0	0.0012077294685990338	0.0011542901115813775	0.001105379513633014	0.00033818058843422386	0.0006172839506172839	0.0021337126600284497	0.006261740763932373	0.0017431725740848344	0.0011366865586814436	0.0005963029218843172	0.007174887892376682	0.015132408575031526	0.006069802731411229	0.0015220700152207	0	0.0	0.0017211703958691911	0	0.004405286343612335	0.002183406113537118	0.0273972602739726	0.007067137809187279	0.0026929982046678637	0.008583690987124463	0.0256797583081571	0.02092050209205021	0.015531660692951015	0.008333333333333333	0.011058451816745656	0.017994858611825194	0.1115819209039548	0.062034739454094295	0.0006381620931716656	0	0.0054124269322364145	0.0017271157167530224	0.0002618486514794449	0	0.0002852253280091272	0	0.006124721603563474	0	0.004928727280782394
GIN	Guinea	X	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013623978201634877	0	0.0030211480362537764	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.012658227848101266	0	0	0	0	0.004347826086956522	0	0	0	0	0.0010309278350515464	0	0.0005127942156812471
GLP	Guadeloupe	X	X	1.0	0.19230769230769232	0.22448979591836735	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	X	0.01	0	0.026143790849673203	0.029239766081871343	0.02040816326530612	X	0.026217228464419477	0	0.008470757862485356
GMB	Gambia	X	X	X	1.0	0	1.0	0	X	1.0	1.0	1.0	1.0	1.0	X	1.0	1.0	0.5555555555555556	0.5714285714285714	1.0	0	0.13793103448275862	0.5760869565217391	0.6108597285067874	0.03209459459459459	0.015025041736227046	0.020053475935828877	0.03942652329749104	0.0196078431372549	0.061946902654867256	0.015625	0.0392156862745098	0.14285714285714285	0	0.0	0.1	0	0	0	0	0	0	0.0	0	0.2	0.0	0.04878048780487805	0.03571428571428571	0.09836065573770492	0	0.04081632653061224	0	0.007936507936507936	0	0.07352941176470588	0.11504424778761062	0.041666666666666664	0.02358490566037736	0.08617234468937876
GNQ	Equatorial Guinea	X	X	X	0	0.16666666666666666	0	0	0.03278688524590164	0.055865921787709494	0.19298245614035087	0.04032258064516129	0.03225806451612903	0.030054644808743168	0.04046242774566474	X	X	0.019553072625698324	0.020771513353115726	0.0065420560747663555	X	X	X	0.002857142857142857	X	X	0	0	0	0	0	0.0	0	0	0.0	0	0	0.5	0	0.038461538461538464	0.043478260869565216	0.6666666666666666	0.038461538461538464	0.06896551724137931	0.09090909090909091	0.024390243902439025	0.08333333333333333	0.13432835820895522	0.08888888888888889	0.05217391304347826	0.0967741935483871	0.05172413793103448	0.15384615384615385	0	0.006172839506172839	0	0	0	0.027528252680382496
GRC	Greece	0.25	0.09523809523809523	0.2802197802197802	0.08940397350993377	0.035781544256120526	0.024509803921568627	0.007352941176470588	0.025974025974025976	0.04059040590405904	0.017543859649122806	0.05555555555555555	0.08256880733944955	0	0	0	0	0	0	0	0	0	0.00546448087431694	0.0023752969121140144	0.009592326139088728	0.0048712595685455815	0	0.0018796992481203006	0.008516678495386799	0.006666666666666667	0.01132852729145211	0.0057777777777777775	0.0067085953878406705	0.010953346855983773	0.004555010511562719	0.0029644268774703555	0.011664326601144833	0.003792261216094614	0.009490989209649173	0.000965305774799841	0.0031750948656392784	0.0019941043870296514	0.013694198835453957	0.021526418786692758	0.02117087923957658	0.022415669205658323	0.0004363001745200698	0.003188619082658818	0.028388278388278388	0.011394240729231406	0.005934718100890208	0.0058160668847691745	0.008588298443370907	0.018418400073307063	0.014066586555453453	0.011066074760342276	0.019888129272840272	0.008245479710230284	0.010032067777821766
GRD	Grenada	X	X	X	X	0	0	0	X	0	0	X	0	X	0	X	X	X	X	X	X	X	X	0	X	X	X	X	X	X	X	X	X	X	0.0	0	X	0	0	0	X	X	0.0	0	0	0.0	X	0	0.125	0	X	X	X	X	X	X	0	0	0.03225806451612903
GTM	Guatemala	X	X	1.0	0.5625	0	0	0	0	0	0	0	0	0.0023237800154918666	0.0005934718100890207	0	0	0	0.0005491488193300384	0	0.0003280301787764474	0.00021177467174925878	0.0007751937984496124	0.000616617851086789	0.00038387715930902113	0.00016329196603527107	0	0	0	0	0.00028620492272467084	0	0	0.00026343519494204424	0.0	0	0	0.0006428801028608164	0	0	0.0002957704821058858	0.0002813731007315701	0.0	0	0	0.0	0.00020785699438786114	0.00018278194114421494	0	0	0	0	0	0	0	0	0	0	0.0002072002072002072
GUY	Guyana	X	X	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113314447592068	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.03225806451612903	0.005263157894736842	0	0.005390835579514825	0	0	0	0	0	0	0	0	0	0.000991375037176564
HKG	Hong Kong	0.6153846153846154	0.46153846153846156	0.375	0.3157894736842105	0.12152777777777778	0.08305647840531562	0.007246376811594203	0.041666666666666664	0	0	0.2	0.125	0.07692307692307693	0	0	0	0	0.18840579710144928	0.21311475409836064	0.5086705202312138	0.3971631205673759	0.13131313131313133	0.08417508417508418	0.058919803600654665	0.09523809523809523	0.06374501992031872	0.2558139534883721	0.19718309859154928	0.16049382716049382	0.323943661971831	0.34	0.46938775510204084	0.5223880597014925	0.16129032258064516	0.09615384615384616	0.23529411764705882	0.43902439024390244	0.475	0.4224137931034483	0.24866785079928952	0.0898379970544919	0.06055900621118013	0.06487341772151899	0.17965367965367965	0.1566579634464752	0.013888888888888888	0.010309278350515464	0.03155818540433925	0.005128205128205128	0	0.0440251572327044	0.012345679012345678	0.007407407407407408	0	0.060109289617486336	0.017543859649122806	0.02702702702702703	0.12262658227848101
HND	Honduras	X	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.00026322716504343247	0.0003046922608165753	0.0001485663348685188	0.0010201107548819587	0	0.0003399626041135475	0.0033991926917357126	0	0	0	0	0	0.00015505119362686128
HRV	Croatia	0	0.3333333333333333	0.07692307692307693	0.06547619047619048	0.04656319290465632	0.01279317697228145	0.012254901960784314	0.003355704697986577	0.005434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002280501710376283	0.0013513513513513514	0.0010198878123406426	0.002129925452609159	0.004910988336402701	0.0007369196757553427	0	0.006456241032998565	0.001185302252074279	0.0	0	0	0	0.001691948658109685	0	0	0	0.0	0	0.0003532008830022075	0.0005031446540880503	0.0016937191249117856	0.0034429992348890587	0.006260956674179815	0.006246450880181715	0.042490118577075096	0.08101157308186883	0.08490566037735849	0.11493860845839017	0.06480159862974594	0.06347387717690192	0.017560512577123873	0	0.006216599411059003
HTI	Haiti	X	X	X	0	0.16666666666666666	0	0	0	0.034482758620689655	0	0	0.09027777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.01694915254237288	0.046511627906976744	0.018867924528301886	0.012048192771084338	0.00847457627118644	0.00546448087431694	0.025252525252525252	0.011834319526627219	0	0.0025380710659898475	0	0	0.003355704697986577	0	0	0	0	0	0	0	0.0024340452261306534
HUN	Hungary	X	0.5	0.11538461538461539	0.2191780821917808	0.09166666666666666	0.05373134328358209	0.03481012658227848	0.019083969465648856	0.026272577996715927	0.012024048096192385	0.007380073800738007	0.015384615384615385	0.004166666666666667	0.006493506493506494	0.07317073170731707	0.05405405405405406	0	0.057692307692307696	0	0.01818181818181818	0	0.009174311926605505	0	0	0	0	0.016791044776119403	0.033288349077822764	0.0002542588354945334	0.0003925417075564279	0	0.00858433734939759	0.007123128361680477	0.00012165450121654502	0.00026591029959227087	0.002028819643135827	6.751738572682465e-05	6.293266205160478e-05	2.9784065524944155e-05	2.906131938390003e-05	2.572479613099066e-05	6.122573930080205e-05	0	0	0.0	0.0006535473095635756	0.0007898894154818325	0.0018111254851228978	0.0017583521728208992	0.0032783178837892833	0.0011288805268109125	0.00041794371691278906	0.00012490111994670886	2.8022193577313233e-05	4.183137771642509e-05	0.00011247750449910018	0	0.0007826767545003914
