code	country_exposure	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
PRT	Portugal	0	13	70	387	633	243	75	54	41	21	9	6	22	48	39	26	13	19	33	30	1	0	0	0	0	3	33	3	0	0	0	0	0	0	1	1	9	324	63	22	10	8	24	201	70	214	634	101	136	51	822	93	23	671	431	55	19
PRY	Paraguay	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	1	1	0	0	1	5	1	1	0	9	5	3	3	5	4	6	27	2	1	0	0
PSE	Palestine	0	4	5	5	2	6	0	0	0	0	0	0	0	0	0	0	0	13	2	8	8	0	2	0	1	14	0	0	0	0	0	0	0	0	0	0	4	0	0	0	22	0	0	0	4	3	0	0	0	15	0	0	0	0	0	0	0
PYF	French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	2	1	0	0	0	0	0	0	0	0	0	0
QAT	Qatar	0	0	16	41	19	8	34	30	115	98	129	27	138	79	103	84	69	30	64	62	9	9	0	31	55	47	7	54	4	1	9	17	18	15	6	8	8	6	11	21	6	1	1	31	122	13	16	10	3	52	35	63	55	41	41	80	64
ROU	Romania	0	0	0	1	11	1	12	15	13	16	1	12	4	5	7	15	2	0	0	0	2	5	1	0	3	1	0	0	3	1	6	6	5	1	1	3	1	1	5	35	9	17	3	2	4	11	10	7	22	18	33	27	54	55	91	21	9
RUS	Russia	0	0	12	32	39	56	50	33	62	38	27	60	59	83	69	43	29	20	17	26	49	30	22	36	38	24	52	44	84	81	143	110	114	96	23	20	75	156	110	69	78	47	143	126	68	72	46	34	5	10	73	201	100	78	127	59	45
RWA	Rwanda	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	0	0	2	2	3	1	0	9	23	32	9	2	0	0	0	0	2	8	0	8	0	0	1	1	3	44	11	13	18	31	18	13	3	10	0	0	0	0	0	0
SAU	Saudi Arabia	4	2	8	30	67	95	122	68	107	39	14	8	0	63	29	74	62	68	38	0	13	0	15	8	7	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEN	Senegal	1	3	8	12	1	7	4	6	24	0	0	0	0	2	5	42	21	0	3	7	5	14	3	15	1	2	3	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	10	16	49	58	28	16	20	10	0	0	0	0	0	0	9
SGP	Singapore	4	20	35	72	52	58	138	145	91	61	56	46	38	17	44	25	24	43	31	35	29	15	7	1	14	14	6	12	3	1	2	6	5	2	2	2	5	9	1	0	2	3	3	2	11	7	7	14	3	11	12	8	9	5	1	4	7
SLE	Sierra Leone	0	0	0	0	0	4	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0
SLV	El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOM	Somalia	0	0	0	0	0	0	0	0	6	5	1	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRB	Kosovo	0	0	1	0	0	16	10	8	10	7	3	9	1	2	1	2	6	10	1	24	10	24	13	5	2	2	2	0	1	1	6	11	6	3	1	0	1	2	5	2	0	4	5	0	12	23	6	1	5	3	1	3	7	4	9	0	0
SUR	Suriname	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	31	2	2	21	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	3	6	19	12	2	10	11
SVK	Slovakia	0	0	1	0	0	2	0	1	1	2	1	1	0	0	0	0	0	0	2	1	0	0	1	1	0	1	1	0	4	6	0	0	1	0	1	1	0	10	2	14	44	1	0	85	11	51	11	20	20	95	10	46	61	485	183	253	292
SVN	Slovenia	0	9	35	13	24	17	12	4	5	4	1	1	0	0	4	3	8	16	29	35	27	39	28	9	26	27	24	16	19	36	28	17	18	12	18	25	59	40	35	51	27	24	53	19	93	23	102	83	789	584	498	517	663	654	515	756	977
SWE	Sweden	5	122	135	42	50	58	43	22	37	25	24	26	38	48	40	14	15	18	22	17	24	2	10	25	18	14	28	19	19	33	17	23	25	12	28	55	55	52	38	82	62	56	107	249	198	326	698	900	1619	2533	3601	4241	5045	4512	5979	5500	6178
SWZ	Eswatini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	6	0	1	2	1	0	3	3	1	0	0	0	0	7	1	0	0	3
TGO	Togo	0	0	0	2	4	8	1	0	0	0	0	0	2	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	7	1	4	1	0	2	4	9	28	22	14	3	0	0	1	0
THA	Thailand	4	5	86	119	54	35	8	7	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	1	0	5	4	2	2	0	4	1	4	7	6	61	30	12	33	12	14	2	19	55	32	9	7	18	4	3
TJK	Tajikistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
